artist,album,release_date,track_name,track_number,duration_ms,duration_minutes,release_year
Aaliyah,Ultimate Aaliyah,2005-05-10,One In A Million,1,273026,4.55,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,If Your Girl Only Knew,2,292173,4.87,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,Hot Like Fire,3,264733,4.41,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,The One I Gave My Heart To,4,271800,4.53,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,Got To Give It Up (feat. Slick Rick),5,282026,4.7,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,4 Page Letter,6,293640,4.89,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,We Need A Resolution (feat. Timbaland),7,243600,4.06,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,Rock The Boat,8,275560,4.59,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,More Than A Woman,9,230466,3.84,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,I Care 4 U,10,276133,4.6,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,Try Again,11,286373,4.77,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,Back & Forth,12,231733,3.86,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,Are You That Somebody?,13,267626,4.46,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,Don't Know What To Tell Ya,14,303866,5.06,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,Miss You,15,247173,4.12,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,At Your Best (You Are Love),16,290560,4.84,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,Are You Feelin' Me?,1,192226,3.2,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,Messed Up,2,216373,3.61,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,Come Back in One Piece (feat. DMX),3,260200,4.34,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,I Don't Wanna,4,256560,4.28,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,Man Undercover,5,284106,4.74,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,John Blaze,6,242133,4.04,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,I Am Music,7,241466,4.02,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,More Than a Woman - Bump N Flex Club Mix,8,330333,5.51,2005.0
Aaliyah,Ultimate Aaliyah,2005-05-10,Hold On (feat. Wyclef Jean),9,304666,5.08,2005.0
Aaliyah,I Care 4 U,2002-12-10,Don't Know What to Tell Ya,6,301906,5.03,2002.0
Aaliyah,I Care 4 U,2002-12-10,All I Need,8,188200,3.14,2002.0
Aaliyah,I Care 4 U,2002-12-10,Don't Worry,10,231933,3.87,2002.0
Aaliyah,I Care 4 U,2002-12-10,Come Over (feat. Tank),11,235106,3.92,2002.0
Aaliyah,I Care 4 U,2002-12-10,Erica Kane,12,277666,4.63,2002.0
Aaliyah,I Care 4 U,2002-12-10,Got To Give It Up (Remix),14,237866,3.96,2002.0
Aaliyah,Aaliyah,2001-07-07,Loose Rap (feat. Static Major),2,229800,3.83,2001.0
Aaliyah,Aaliyah,2001-07-07,Never No More,5,238266,3.97,2001.0
Aaliyah,Aaliyah,2001-07-07,Extra Smooth,7,234600,3.91,2001.0
Aaliyah,Aaliyah,2001-07-07,Read Between The Lines,8,260560,4.34,2001.0
Aaliyah,Aaliyah,2001-07-07,U Got Nerve,9,222706,3.71,2001.0
Aaliyah,Aaliyah,2001-07-07,I Refuse,10,357026,5.95,2001.0
Aaliyah,Aaliyah,2001-07-07,It's Whatever,11,248373,4.14,2001.0
Aaliyah,Aaliyah,2001-07-07,I Can Be,12,179293,2.99,2001.0
Aaliyah,Aaliyah,2001-07-07,Those Were The Days,13,204106,3.4,2001.0
Aaliyah,Aaliyah,2001-07-07,What If,14,259959,4.33,2001.0
Aaliyah,One In A Million,1996-08-13,Beats 4 Da Streets (Intro),1,130773,2.18,1996.0
Aaliyah,One In A Million,1996-08-13,A Girl Like You (feat. Treach),4,262706,4.38,1996.0
Aaliyah,One In A Million,1996-08-13,Choosey Lover (Old School / New School),6,427866,7.13,1996.0
Aaliyah,One In A Million,1996-08-13,Everything's Gonna Be Alright,9,289666,4.83,1996.0
Aaliyah,One In A Million,1996-08-13,Giving You More,10,265626,4.43,1996.0
Aaliyah,One In A Million,1996-08-13,I Gotcha' Back,11,173573,2.89,1996.0
Aaliyah,One In A Million,1996-08-13,Never Givin' Up (feat. Tavarius Polk),12,311693,5.19,1996.0
Aaliyah,One In A Million,1996-08-13,Heartbroken,13,259066,4.32,1996.0
Aaliyah,One In A Million,1996-08-13,Never Comin' Back,14,246066,4.1,1996.0
Aaliyah,One In A Million,1996-08-13,Ladies In Da House (feat. Missy Elliott & Timbaland),15,260840,4.35,1996.0
Aaliyah,One In A Million,1996-08-13,Came To Give Love (Outro) [feat. Timbaland],17,100293,1.67,1996.0
Aaliyah,One In A Million,1996-08-13,Hot Like Fire (Timbaland's Groove Mix) [feat. Missy Elliott & Timbaland] - Bonus,18,275425,4.59,1996.0
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Intro,1,90360,1.51,1994.0
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Throw Your Hands Up,2,214093,3.57,1994.0
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Age Ain't Nothing But a Number,4,253960,4.23,1994.0
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Down with the Clique,5,204333,3.41,1994.0
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,No One Knows How to Love Me Quite Like You Do,7,247493,4.12,1994.0
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,I'm So into You,8,205693,3.43,1994.0
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Street Thing,9,298600,4.98,1994.0
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Young Nation,10,280493,4.67,1994.0
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Old School,11,197400,3.29,1994.0
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,I'm Down,12,196026,3.27,1994.0
Aaliyah,Age Ain't Nothing But A Number,1994-05-22,Back & Forth - Mr. Lee & R. Kelly's Remix,13,227093,3.78,1994.0
